vessel_id,ts,lat,lon,speed_knots,course_deg,status
V001,2026-09-09T04:00:00+00:00,19.57945,86.40963,13.1,184.6,underway
V001,2026-09-09T04:20:00+00:00,19.5258,86.41654,12.4,359.7,underway
V001,2026-09-09T04:40:00+00:00,19.59154,86.42984,12.0,10.9,underway
V001,2026-09-09T05:00:00+00:00,19.66762,86.43387,13.6,2.9,underway
V001,2026-09-09T05:20:00+00:00,19.74263,86.42918,13.5,356.6,underway
V001,2026-09-09T05:40:00+00:00,19.77853,86.4275,12.0,185.0,underway
V001,2026-09-09T06:00:00+00:00,19.71005,86.42052,12.3,185.5,underway
V001,2026-09-09T06:20:00+00:00,19.6241,86.42178,15.4,179.2,underway
V001,2026-09-09T06:40:00+00:00,19.5377,86.42805,15.5,176.1,underway
V001,2026-09-09T07:00:00+00:00,19.52849,86.44315,13.9,348.2,underway
V001,2026-09-09T07:20:00+00:00,19.61188,86.44274,14.9,359.7,underway
V001,2026-09-09T07:40:00+00:00,19.68432,86.43381,13.1,353.3,underway
V001,2026-09-09T08:00:00+00:00,19.76665,86.42345,14.9,353.2,underway
V001,2026-09-09T08:20:00+00:00,19.7782,86.40058,12.0,173.5,underway
V001,2026-09-09T08:40:00+00:00,19.70054,86.42365,14.5,164.3,underway
V001,2026-09-09T09:00:00+00:00,19.63233,86.4706,14.6,146.9,underway
V001,2026-09-09T09:20:00+00:00,19.5752,86.5216,14.0,307.6,underway
V001,2026-09-09T09:40:00+00:00,19.62812,86.46545,13.4,314.8,underway
V001,2026-09-09T10:00:00+00:00,19.69638,86.41215,15.2,323.5,underway
V001,2026-09-09T10:20:00+00:00,19.75974,86.35063,15.4,317.4,underway
V001,2026-09-09T10:40:00+00:00,19.75341,86.33523,14.1,142.9,underway
V001,2026-09-09T11:00:00+00:00,19.69776,86.38001,12.5,142.7,underway
V001,2026-09-09T11:20:00+00:00,19.64091,86.44176,14.6,134.2,underway
V001,2026-09-09T11:40:00+00:00,19.58581,86.51084,15.3,130.1,underway
V001,2026-09-09T12:00:00+00:00,19.57484,86.52131,12.3,307.8,underway
V001,2026-09-09T12:20:00+00:00,19.61457,86.45884,12.8,303.8,underway
V001,2026-09-09T12:40:00+00:00,19.63929,86.38445,13.4,289.3,underway
V001,2026-09-09T13:00:00+00:00,19.66871,86.30498,14.5,291.3,underway
V001,2026-09-09T13:20:00+00:00,19.70092,86.29241,14.4,112.5,underway
V001,2026-09-09T13:40:00+00:00,19.6795,86.363,12.6,107.7,underway
V001,2026-09-09T14:00:00+00:00,19.67823,86.43523,12.3,91.1,underway
V001,2026-09-09T14:20:00+00:00,19.6698,86.50362,11.7,97.4,underway
V001,2026-09-09T14:40:00+00:00,19.64642,86.54916,12.4,272.7,underway
V001,2026-09-09T15:00:00+00:00,19.63926,86.47744,12.2,264.0,underway
V001,2026-09-09T15:20:00+00:00,19.63291,86.39467,14.1,265.4,underway
V001,2026-09-09T15:40:00+00:00,19.61892,86.32457,12.2,258.1,underway
V001,2026-09-09T16:00:00+00:00,19.63092,86.28416,15.5,80.2,underway
V001,2026-09-09T16:20:00+00:00,19.63601,86.3701,14.6,86.4,underway
V001,2026-09-09T16:40:00+00:00,19.64383,86.45891,15.1,84.7,underway
V001,2026-09-09T17:00:00+00:00,19.62608,86.54153,14.4,102.8,underway
V001,2026-09-09T17:20:00+00:00,19.62293,86.54564,13.3,283.5,underway
V001,2026-09-09T17:40:00+00:00,19.63509,86.46665,13.6,279.2,underway
V001,2026-09-09T18:00:00+00:00,19.64144,86.39378,12.4,275.2,underway
V001,2026-09-09T18:20:00+00:00,19.67268,86.32192,13.4,294.6,underway
V001,2026-09-09T18:40:00+00:00,19.67673,86.28471,14.1,101.1,underway
V001,2026-09-09T19:00:00+00:00,19.68328,86.36645,13.9,85.2,underway
V001,2026-09-09T19:20:00+00:00,19.68834,86.45732,15.5,86.6,underway
V001,2026-09-09T19:40:00+00:00,19.68696,86.52765,11.9,91.2,underway
V001,2026-09-09T20:00:00+00:00,19.68527,86.54473,13.2,255.0,underway
V001,2026-09-09T20:20:00+00:00,19.67075,86.45484,15.5,260.3,underway
V001,2026-09-09T20:40:00+00:00,19.6634,86.37537,13.6,264.4,underway
V001,2026-09-09T21:00:00+00:00,19.6362,86.3005,13.6,249.0,underway
V001,2026-09-09T21:20:00+00:00,19.63971,86.28289,13.6,84.2,underway
V001,2026-09-09T21:40:00+00:00,19.65541,86.35304,12.2,76.7,underway
V001,2026-09-09T22:00:00+00:00,19.6601,86.43902,14.6,86.7,underway
V001,2026-09-09T22:20:00+00:00,19.66593,86.52378,14.4,85.8,underway
V001,2026-09-09T22:40:00+00:00,19.66543,86.5486,12.5,264.1,underway
V001,2026-09-09T23:00:00+00:00,19.68087,86.47313,13.1,282.2,underway
V001,2026-09-09T23:20:00+00:00,19.70982,86.38824,15.3,289.8,underway
V001,2026-09-09T23:40:00+00:00,19.74448,86.32409,12.9,136.6,underway
V001,2026-09-10T00:00:00+00:00,19.6913,86.36734,12.0,142.4,underway
V001,2026-09-10T00:20:00+00:00,19.62114,86.4,13.7,156.2,underway
V001,2026-09-10T00:40:00+00:00,19.5487,86.41004,13.1,172.5,underway
V001,2026-09-10T01:00:00+00:00,19.52653,86.43015,13.8,353.8,underway
V001,2026-09-10T01:20:00+00:00,19.60542,86.42129,14.2,353.9,underway
V001,2026-09-10T01:40:00+00:00,19.68811,86.41894,14.8,358.5,underway
V001,2026-09-10T02:00:00+00:00,19.75677,86.43013,12.4,8.8,underway
V001,2026-09-10T02:20:00+00:00,19.77876,86.42436,13.3,183.7,underway
V001,2026-09-10T02:40:00+00:00,19.71181,86.40435,12.5,195.8,underway
V001,2026-09-10T03:00:00+00:00,19.63335,86.38134,14.6,195.5,underway
V001,2026-09-10T03:20:00+00:00,19.56565,86.33113,14.8,215.1,underway
V001,2026-09-10T03:40:00+00:00,19.55475,86.33077,12.4,39.5,underway
V001,2026-09-10T04:00:00+00:00,19.60736,86.38386,13.0,43.7,underway
V001,2026-09-10T04:20:00+00:00,19.65271,86.45498,14.6,56.1,underway
V001,2026-09-10T04:40:00+00:00,19.70849,86.52523,15.6,50.1,underway
V001,2026-09-10T05:00:00+00:00,19.73142,86.52011,12.1,231.4,underway
V001,2026-09-10T05:20:00+00:00,19.6849,86.46124,13.0,230.2,underway
V001,2026-09-10T05:40:00+00:00,19.62832,86.39137,15.6,229.5,underway
V001,2026-09-10T06:00:00+00:00,19.58993,86.33584,11.7,233.9,underway
V001,2026-09-10T06:20:00+00:00,19.58701,86.30142,13.0,58.9,underway
V001,2026-09-10T06:40:00+00:00,19.6229,86.38123,15.0,64.6,underway
V001,2026-09-10T07:00:00+00:00,19.6709,86.44035,13.2,49.4,underway
V001,2026-09-10T07:20:00+00:00,19.70789,86.50249,12.5,57.9,underway
V001,2026-09-10T07:40:00+00:00,19.70893,86.53526,13.4,243.5,underway
V001,2026-09-10T08:00:00+00:00,19.68481,86.46927,12.0,248.9,underway
V001,2026-09-10T08:20:00+00:00,19.78019,86.41144,14.6,266.8,underway
V001,2026-09-10T08:40:00+00:00,19.87568,86.38188,14.6,265.3,underway
V001,2026-09-10T09:00:00+00:00,19.96482,86.41613,12.3,88.7,underway
V001,2026-09-10T09:20:00+00:00,20.06294,86.48267,0.5,148.5,stopped
V001,2026-09-10T09:40:00+00:00,20.16673,86.52863,1.4,72.1,stopped
V001,2026-09-10T10:00:00+00:00,20.28,86.55,0.7,158.3,stopped
V001,2026-09-10T10:20:00+00:00,20.16101,86.54391,2.2,353.0,reduced speed
V001,2026-09-10T10:40:00+00:00,20.06192,86.52593,1.7,10.5,reduced speed
V001,2026-09-10T11:00:00+00:00,19.98196,86.49789,11.7,332.4,underway
V001,2026-09-10T11:20:00+00:00,19.93484,86.46513,14.6,344.4,underway
V001,2026-09-10T11:40:00+00:00,19.86044,86.41616,14.7,168.6,underway
V001,2026-09-10T12:00:00+00:00,19.69808,86.42943,15.6,154.2,underway
V001,2026-09-10T12:20:00+00:00,19.63141,86.48442,15.2,142.0,underway
V001,2026-09-10T12:40:00+00:00,19.59776,86.53623,12.5,295.6,underway
V001,2026-09-10T13:00:00+00:00,19.63329,86.45808,14.7,295.6,underway
V001,2026-09-10T13:20:00+00:00,19.658,86.38086,13.8,288.7,underway
V001,2026-09-10T13:40:00+00:00,19.69325,86.32141,11.9,302.0,underway
V001,2026-09-10T14:00:00+00:00,19.72037,86.30309,15.3,122.5,underway
V001,2026-09-10T14:20:00+00:00,19.66798,86.37142,14.9,129.0,underway
V001,2026-09-10T14:40:00+00:00,19.61466,86.43932,15.0,129.6,underway
V001,2026-09-10T15:00:00+00:00,19.55909,86.48073,12.2,144.8,underway
V001,2026-09-10T15:20:00+00:00,19.55515,86.50127,13.7,320.2,underway
V001,2026-09-10T15:40:00+00:00,19.62994,86.46465,14.8,335.1,underway
V001,2026-09-10T16:00:00+00:00,19.70714,86.43411,14.8,339.4,underway
V001,2026-09-10T16:20:00+00:00,19.76336,86.39325,12.2,325.4,underway
V001,2026-09-10T16:40:00+00:00,19.77285,86.37458,12.1,162.0,underway
V001,2026-09-10T17:00:00+00:00,19.70742,86.42379,14.4,144.5,underway
V001,2026-09-10T17:20:00+00:00,19.6447,86.46885,13.6,145.7,underway
V001,2026-09-10T17:40:00+00:00,19.56672,86.50411,15.2,156.8,underway
V001,2026-09-10T18:00:00+00:00,19.55995,86.507,12.4,316.9,underway
V001,2026-09-10T18:20:00+00:00,19.59216,86.44467,12.1,298.6,underway
V001,2026-09-10T18:40:00+00:00,19.62168,86.38272,11.8,296.7,underway
V001,2026-09-10T19:00:00+00:00,19.66658,86.33093,11.9,312.4,underway
V001,2026-09-10T19:20:00+00:00,19.70214,86.29295,15.6,113.1,underway
V001,2026-09-10T19:40:00+00:00,19.67015,86.35811,12.5,117.4,underway
V001,2026-09-10T20:00:00+00:00,19.64594,86.43462,13.7,108.5,underway
V001,2026-09-10T20:20:00+00:00,19.60684,86.50392,13.7,120.8,underway
V001,2026-09-10T20:40:00+00:00,19.59879,86.53674,13.8,295.1,underway
V001,2026-09-10T21:00:00+00:00,19.65407,86.46748,15.4,310.1,underway
V001,2026-09-10T21:20:00+00:00,19.72541,86.41863,15.2,327.0,underway
V001,2026-09-10T21:40:00+00:00,19.77003,86.36633,13.5,158.3,underway
V001,2026-09-10T22:00:00+00:00,19.7031,86.39934,13.2,154.9,underway
V001,2026-09-10T22:20:00+00:00,19.63548,86.44463,14.3,147.6,underway
V001,2026-09-10T22:40:00+00:00,19.57845,86.48721,12.5,144.7,underway
V001,2026-09-10T23:00:00+00:00,19.55946,86.50644,12.2,317.2,underway
V001,2026-09-10T23:20:00+00:00,19.63272,86.45874,15.4,328.3,underway
V001,2026-09-10T23:40:00+00:00,19.69862,86.42491,13.1,334.1,underway
V001,2026-09-11T00:00:00+00:00,19.75391,86.38282,12.2,324.2,underway
V001,2026-09-11T00:20:00+00:00,19.7664,86.35764,14.7,154.2,underway
V001,2026-09-11T00:40:00+00:00,19.70336,86.41759,15.2,138.0,underway
V001,2026-09-11T01:00:00+00:00,19.65805,86.48717,14.3,124.5,underway
V001,2026-09-11T01:20:00+00:00,19.62916,86.54703,14.5,280.6,underway
V001,2026-09-11T01:40:00+00:00,19.66661,86.47955,13.3,300.3,underway
V001,2026-09-11T02:00:00+00:00,19.70001,86.411,13.1,297.2,underway
V001,2026-09-11T02:20:00+00:00,19.71385,86.33509,13.1,280.9,underway
V001,2026-09-11T02:40:00+00:00,19.70372,86.29368,13.5,113.9,underway
V001,2026-09-11T03:00:00+00:00,19.66463,86.35958,13.2,122.0,underway
V001,2026-09-11T03:20:00+00:00,19.62585,86.42321,12.8,122.7,underway
V001,2026-09-11T03:40:00+00:00,19.57317,86.46794,12.1,141.2,underway
V001,2026-09-11T04:00:00+00:00,19.54034,86.47792,12.6,332.3,underway
V001,2026-09-11T04:20:00+00:00,19.6057,86.4624,12.0,347.3,underway
V001,2026-09-11T04:40:00+00:00,19.68494,86.42897,15.3,338.2,underway
V001,2026-09-11T05:00:00+00:00,19.75248,86.37993,14.7,325.5,underway
V001,2026-09-11T05:20:00+00:00,19.77132,86.36991,15.1,159.9,underway
